session_id,date,day_of_week,start_time,end_time,hour_of_day,time_of_day,duration_min,topic,topic_type,difficulty_1_5,sleep_hours,energy_before_1_10,distraction_level_1_10,break_before_days,location,device_used,completion_percent,focus_score_1_10,notes
S0030,2024-02-13,Tuesday,10:00,11:30,10,Morning,90,German Language,Language,3,6.5,6,3,0,Study Room,Laptop + Notebook,91,7,"Decent session, some distractions but useful progress"
S0031,2024-02-13,Tuesday,20:30,22:45,20,Evening,135,Big Data Analytics,Data Engineering,4,5.8,6,4,0,Study Room,Tablet,76,4,"Low energy, needed more breaks than expected"
S0032,2024-02-15,Thursday,10:20,11:35,10,Morning,75,Data Visualization,Data Analysis,2,8.0,7,5,1,Home Desk,Laptop,100,9,"High clarity, strong concentration, completed planned tasks"
S0033,2024-02-16,Friday,18:30,19:20,18,Evening,50,Linear Algebra,Math,4,6.2,6,2,0,University Library,Tablet,81,6,"Decent session, some distractions but useful progress"
S0034,2024-02-16,Friday,14:15,16:00,14,Afternoon,105,Deep Learning,ML,5,6.4,6,4,0,Cafe,Notebook,88,7,"Decent session, some distractions but useful progress"
S0035,2024-02-17,Saturday,11:15,11:50,11,Morning,35,Deep Learning,ML,5,8.2,7,1,0,Study Room,Tablet,87,7,"Decent session, some distractions but useful progress"
S0036,2024-02-20,Tuesday,18:10,20:10,18,Evening,120,Python Programming,Programming,3,7.3,5,2,2,Cafe,Tablet,86,5,"Low energy, needed more breaks than expected"
S0037,2024-02-20,Tuesday,07:10,07:55,7,Morning,45,Generative AI,GenAI,4,6.3,6,3,0,Cafe,Laptop + Notebook,76,4,"Low energy, needed more breaks than expected"
S0038,2024-02-21,Wednesday,10:30,12:00,10,Morning,90,Linear Algebra,Math,4,6.9,5,2,0,Home Desk,Laptop + Notebook,98,7,"Decent session, some distractions but useful progress"
S0039,2024-02-22,Thursday,21:45,22:35,21,Night,50,Generative AI,GenAI,4,5.2,5,5,0,Cafe,Laptop + Notebook,68,3,"Low energy, needed more breaks than expected"
S0040,2024-02-23,Friday,07:30,08:20,7,Morning,50,Python Programming,Programming,3,7.3,6,4,0,Home Desk,Tablet,77,4,"Low energy, needed more breaks than expected"
S0041,2024-02-24,Saturday,09:00,10:45,9,Morning,105,Big Data Analytics,Data Engineering,4,7.0,7,2,0,University Library,Notebook,86,7,"Decent session, some distractions but useful progress"
S0042,2024-02-24,Saturday,20:15,22:00,20,Evening,105,Big Data Analytics,Data Engineering,4,6.2,7,1,0,Home Desk,Laptop + Notebook,95,7,"Decent session, some distractions but useful progress"
S0043,2024-02-26,Monday,11:00,12:00,11,Morning,60,German Language,Language,3,6.5,5,5,1,Home Desk,Laptop + Notebook,74,5,"Low energy, needed more breaks than expected"
S0044,2024-02-27,Tuesday,18:00,18:35,18,Evening,35,Python Programming,Programming,3,6.3,8,3,0,Cafe,Notebook,66,5,"Low energy, needed more breaks than expected"
S0045,2024-02-28,Wednesday,08:20,09:50,8,Morning,90,German Language,Language,3,7.2,4,6,0,Cafe,Laptop,92,7,"Decent session, some distractions but useful progress"
S0046,2024-02-29,Thursday,11:45,13:45,11,Morning,120,Statistics,Math,4,7.8,7,3,0,Home Desk,Laptop + Notebook,97,7,"Decent session, some distractions but useful progress"
S0047,2024-03-01,Friday,10:20,12:35,10,Morning,135,Big Data Analytics,Data Engineering,4,6.6,8,1,0,Study Room,Laptop,87,8,"High clarity, strong concentration, completed planned tasks"
S0048,2024-03-03,Sunday,11:45,13:45,11,Morning,120,Python Programming,Programming,3,7.2,4,4,1,Study Room,Laptop,89,7,"Decent session, some distractions but useful progress"
S0049,2024-03-04,Monday,11:45,13:00,11,Morning,75,Statistics,Math,4,7.0,5,1,0,Home Desk,Tablet,84,6,"Decent session, some distractions but useful progress"
S0050,2024-03-05,Tuesday,10:30,11:45,10,Morning,75,Data Visualization,Data Analysis,2,7.7,5,1,0,Study Room,Notebook,100,8,"High clarity, strong concentration, completed planned tasks"
S0051,2024-03-06,Wednesday,22:10,23:55,22,Night,105,Linear Algebra,Math,4,5.2,9,2,0,Study Room,Laptop,60,6,"Decent session, some distractions but useful progress"
S0052,2024-03-06,Wednesday,11:30,13:00,11,Morning,90,Statistics,Math,4,6.8,6,3,0,Cafe,Tablet,100,8,"High clarity, strong concentration, completed planned tasks"
S0053,2024-03-07,Thursday,14:15,16:30,14,Afternoon,135,Data Visualization,Data Analysis,2,6.7,9,5,0,Home Desk,Notebook,98,7,"Decent session, some distractions but useful progress"
S0054,2024-03-11,Monday,10:15,12:00,10,Morning,105,Machine Learning,ML,4,5.8,7,6,3,University Library,Laptop + Notebook,100,5,"Restart after long gap, took time to regain rhythm"
S0055,2024-03-12,Tuesday,11:45,12:20,11,Morning,35,Python Programming,Programming,3,8.2,5,3,0,Home Desk,Laptop + Notebook,95,8,"High clarity, strong concentration, completed planned tasks"
S0056,2024-03-13,Wednesday,14:45,16:00,14,Afternoon,75,SQL Practice,Programming,3,6.8,10,1,0,Cafe,Laptop + Notebook,100,10,"High clarity, strong concentration, completed planned tasks"
S0057,2024-03-14,Thursday,10:20,10:55,10,Morning,35,Machine Learning,ML,4,7.5,5,4,0,Cafe,Tablet,94,6,"Decent session, some distractions but useful progress"
S0058,2024-03-15,Friday,20:20,21:35,20,Evening,75,Python Programming,Programming,3,7.6,10,5,0,Home Desk,Notebook,88,7,"Decent session, some distractions but useful progress"
S0059,2024-03-15,Friday,15:45,17:00,15,Afternoon,75,SQL Practice,Programming,3,7.7,9,5,0,Cafe,Notebook,100,9,"High clarity, strong concentration, completed planned tasks"
S0060,2024-03-19,Tuesday,08:30,09:20,8,Morning,50,Deep Learning,ML,5,6.7,6,6,3,Cafe,Laptop,54,3,"Restart after long gap, took time to regain rhythm"
S0061,2024-03-19,Tuesday,09:20,10:20,9,Morning,60,SQL Practice,Programming,3,7.6,8,3,0,Study Room,Laptop,100,9,"High clarity, strong concentration, completed planned tasks"
S0062,2024-03-20,Wednesday,21:00,22:30,21,Night,90,German Language,Language,3,6.5,6,4,0,Cafe,Laptop + Notebook,100,5,"Low energy, needed more breaks than expected"
S0063,2024-03-21,Thursday,07:10,08:00,7,Morning,50,German Language,Language,3,7.3,5,5,0,University Library,Notebook,76,4,"Low energy, needed more breaks than expected"
S0064,2024-03-22,Friday,11:15,13:30,11,Morning,135,Deep Learning,ML,5,7.3,4,4,0,Study Room,Notebook,78,5,"Low energy, needed more breaks than expected"
S0065,2024-03-25,Monday,08:00,09:30,8,Morning,90,Big Data Analytics,Data Engineering,4,7.2,4,4,2,Study Room,Notebook,85,6,"Decent session, some distractions but useful progress"
S0066,2024-03-27,Wednesday,15:10,16:55,15,Afternoon,105,Generative AI,GenAI,4,6.9,5,3,1,Cafe,Laptop + Notebook,87,5,"Low energy, needed more breaks than expected"
S0067,2024-03-28,Thursday,08:00,08:45,8,Morning,45,Big Data Analytics,Data Engineering,4,6.6,6,4,0,Study Room,Laptop,91,5,"Low energy, needed more breaks than expected"
S0068,2024-03-29,Friday,10:00,12:15,10,Morning,135,German Language,Language,3,5.7,5,5,0,Study Room,Laptop,67,5,"Low energy, needed more breaks than expected"
S0069,2024-03-29,Friday,20:45,22:00,20,Evening,75,German Language,Language,3,6.0,6,1,0,Home Desk,Laptop,100,8,"High clarity, strong concentration, completed planned tasks"
S0070,2024-03-30,Saturday,10:20,11:50,10,Morning,90,Linear Algebra,Math,4,6.2,8,3,0,University Library,Laptop,84,7,"Decent session, some distractions but useful progress"
S0071,2024-04-02,Tuesday,11:45,13:00,11,Morning,75,German Language,Language,3,5.8,6,3,2,Cafe,Laptop,96,7,"Decent session, some distractions but useful progress"
S0072,2024-04-04,Thursday,09:30,10:30,9,Morning,60,Statistics,Math,4,7.0,8,4,1,Home Desk,Tablet,92,7,"Decent session, some distractions but useful progress"
S0073,2024-04-06,Saturday,18:15,19:00,18,Evening,45,Big Data Analytics,Data Engineering,4,6.9,6,4,1,Home Desk,Laptop + Notebook,71,4,"Low energy, needed more breaks than expected"
S0074,2024-04-06,Saturday,10:45,11:35,10,Morning,50,SQL Practice,Programming,3,6.5,4,6,0,Study Room,Notebook,95,5,"Low energy, needed more breaks than expected"
S0075,2024-04-07,Sunday,11:30,13:00,11,Morning,90,German Language,Language,3,8.5,6,3,0,Study Room,Laptop,95,8,"High clarity, strong concentration, completed planned tasks"
S0076,2024-04-09,Tuesday,14:00,16:15,14,Afternoon,135,Deep Learning,ML,5,6.6,6,4,1,Cafe,Laptop,77,5,"Low energy, needed more breaks than expected"
S0077,2024-04-09,Tuesday,08:45,10:45,8,Morning,120,Generative AI,GenAI,4,7.3,8,6,0,Cafe,Laptop,95,7,"Decent session, some distractions but useful progress"
S0078,2024-04-10,Wednesday,15:15,16:30,15,Afternoon,75,Generative AI,GenAI,4,8.0,5,2,0,Study Room,Laptop + Notebook,92,8,"High clarity, strong concentration, completed planned tasks"
S0079,2024-04-11,Thursday,10:20,11:50,10,Morning,90,Deep Learning,ML,5,8.5,10,5,0,Cafe,Laptop,87,8,"High clarity, strong concentration, completed planned tasks"
S0080,2024-04-12,Friday,21:15,23:15,21,Night,120,Statistics,Math,4,6.2,8,4,0,University Library,Notebook,68,3,"Low energy, needed more breaks than expected"
S0081,2024-04-15,Monday,16:10,18:10,16,Afternoon,120,German Language,Language,3,5.9,7,4,2,Study Room,Laptop + Notebook,100,5,"Low energy, needed more breaks than expected"
S0082,2024-04-16,Tuesday,22:20,23:35,22,Night,75,German Language,Language,3,7.9,6,1,0,Study Room,Tablet,88,7,"Decent session, some distractions but useful progress"
S0083,2024-04-17,Wednesday,15:30,16:15,15,Afternoon,45,Deep Learning,ML,5,5.6,4,5,0,Home Desk,Notebook,68,2,"Low energy, needed more breaks than expected"
S0084,2024-04-19,Friday,10:00,11:30,10,Morning,90,Linear Algebra,Math,4,6.4,6,3,1,Home Desk,Laptop,79,7,"Decent session, some distractions but useful progress"
S0085,2024-04-23,Tuesday,12:00,13:15,12,Afternoon,75,German Language,Language,3,6.5,4,4,3,Home Desk,Laptop + Notebook,70,5,"Restart after long gap, took time to regain rhythm"
S0086,2024-04-23,Tuesday,10:00,11:30,10,Morning,90,Statistics,Math,4,6.3,7,4,0,Study Room,Notebook,94,8,"High clarity, strong concentration, completed planned tasks"
S0087,2024-04-25,Thursday,09:00,10:30,9,Morning,90,SQL Practice,Programming,3,7.7,8,6,1,Cafe,Laptop + Notebook,93,7,"Decent session, some distractions but useful progress"
S0088,2024-04-26,Friday,22:20,23:10,22,Night,50,Big Data Analytics,Data Engineering,4,7.8,6,6,0,Cafe,Laptop,74,4,"Low energy, needed more breaks than expected"
S0089,2024-04-26,Friday,10:00,11:30,10,Morning,90,Linear Algebra,Math,4,5.3,6,1,0,Study Room,Tablet,95,7,"Decent session, some distractions but useful progress"
S0090,2024-04-27,Saturday,10:00,11:45,10,Morning,105,Generative AI,GenAI,4,5.4,8,3,0,Study Room,Laptop + Notebook,83,7,"Decent session, some distractions but useful progress"
S0091,2024-04-27,Saturday,08:15,10:00,8,Morning,105,Big Data Analytics,Data Engineering,4,7.3,9,5,0,Cafe,Tablet,96,8,"High clarity, strong concentration, completed planned tasks"
S0092,2024-04-29,Monday,09:20,10:50,9,Morning,90,German Language,Language,3,6.2,7,3,1,University Library,Notebook,95,7,"Decent session, some distractions but useful progress"
S0093,2024-04-30,Tuesday,09:15,11:15,9,Morning,120,Generative AI,GenAI,4,5.9,5,5,0,University Library,Laptop + Notebook,88,5,"Low energy, needed more breaks than expected"
S0094,2024-05-01,Wednesday,09:10,10:00,9,Morning,50,Generative AI,GenAI,4,6.2,5,1,0,Home Desk,Tablet,100,8,"High clarity, strong concentration, completed planned tasks"
S0095,2024-05-02,Thursday,12:20,13:05,12,Afternoon,45,Big Data Analytics,Data Engineering,4,6.2,4,3,0,University Library,Laptop + Notebook,69,5,"Low energy, needed more breaks than expected"
S0096,2024-05-03,Friday,18:30,19:20,18,Evening,50,Machine Learning,ML,4,6.6,8,6,0,University Library,Tablet,79,4,"Low energy, needed more breaks than expected"
S0097,2024-05-06,Monday,14:30,15:20,14,Afternoon,50,Generative AI,GenAI,4,5.6,8,3,2,Home Desk,Notebook,74,5,"Low energy, needed more breaks than expected"
S0098,2024-05-07,Tuesday,10:15,12:15,10,Morning,120,Generative AI,GenAI,4,5.0,6,4,0,Cafe,Laptop + Notebook,86,5,"Low energy, needed more breaks than expected"
S0099,2024-05-07,Tuesday,18:15,19:45,18,Evening,90,SQL Practice,Programming,3,6.5,5,2,0,Study Room,Notebook,90,6,"Decent session, some distractions but useful progress"
S0100,2024-05-09,Thursday,16:30,18:00,16,Afternoon,90,Statistics,Math,4,6.4,8,1,1,Cafe,Laptop,92,7,"Decent session, some distractions but useful progress"
S0101,2024-05-09,Thursday,10:30,12:30,10,Morning,120,Machine Learning,ML,4,6.4,6,1,0,Study Room,Notebook,96,7,"Decent session, some distractions but useful progress"
S0102,2024-05-10,Friday,18:30,19:15,18,Evening,45,Python Programming,Programming,3,7.1,4,3,0,Study Room,Notebook,89,6,"Decent session, some distractions but useful progress"
S0103,2024-05-12,Sunday,10:30,12:00,10,Morning,90,Statistics,Math,4,7.5,3,4,1,Cafe,Tablet,97,5,"Low energy, needed more breaks than expected"
S0104,2024-05-13,Monday,14:45,15:20,14,Afternoon,35,Data Visualization,Data Analysis,2,7.2,6,1,0,Study Room,Laptop + Notebook,83,6,"Decent session, some distractions but useful progress"
S0105,2024-05-14,Tuesday,07:45,08:30,7,Morning,45,Linear Algebra,Math,4,6.1,6,2,0,Home Desk,Laptop + Notebook,68,4,"Low energy, needed more breaks than expected"
S0106,2024-05-14,Tuesday,09:15,11:15,9,Morning,120,Generative AI,GenAI,4,7.1,5,6,0,Study Room,Laptop + Notebook,63,4,"Low energy, needed more breaks than expected"
S0107,2024-05-15,Wednesday,12:10,13:25,12,Afternoon,75,Python Programming,Programming,3,8.4,7,3,0,Cafe,Laptop,94,9,"High clarity, strong concentration, completed planned tasks"
S0108,2024-05-15,Wednesday,15:20,17:05,15,Afternoon,105,German Language,Language,3,7.7,4,3,0,University Library,Tablet,96,6,"Decent session, some distractions but useful progress"
S0109,2024-05-16,Thursday,09:30,10:30,9,Morning,60,Python Programming,Programming,3,5.8,6,1,0,University Library,Laptop,90,8,"High clarity, strong concentration, completed planned tasks"
S0110,2024-05-16,Thursday,22:10,23:55,22,Night,105,Generative AI,GenAI,4,9.0,6,4,0,Home Desk,Laptop + Notebook,83,5,"Low energy, needed more breaks than expected"
S0111,2024-05-17,Friday,20:10,21:55,20,Evening,105,Machine Learning,ML,4,7.7,6,4,0,Study Room,Tablet,83,7,"Decent session, some distractions but useful progress"
S0112,2024-05-21,Tuesday,15:00,16:30,15,Afternoon,90,Python Programming,Programming,3,8.0,7,5,3,University Library,Laptop + Notebook,98,7,"Decent session, some distractions but useful progress"
S0113,2024-05-22,Wednesday,07:20,08:20,7,Morning,60,Linear Algebra,Math,4,6.9,5,4,0,Home Desk,Notebook,76,3,"Low energy, needed more breaks than expected"
S0114,2024-05-23,Thursday,15:45,17:00,15,Afternoon,75,Data Visualization,Data Analysis,2,7.8,8,3,0,Study Room,Laptop + Notebook,99,9,"High clarity, strong concentration, completed planned tasks"
S0115,2024-05-24,Friday,18:00,20:15,18,Evening,135,German Language,Language,3,6.7,3,1,0,University Library,Laptop + Notebook,75,4,"Low energy, needed more breaks than expected"
S0116,2024-05-26,Sunday,15:45,17:45,15,Afternoon,120,Deep Learning,ML,5,5.7,8,3,1,Cafe,Laptop,89,6,"Decent session, some distractions but useful progress"
S0117,2024-05-27,Monday,16:30,17:15,16,Afternoon,45,Machine Learning,ML,4,5.9,5,4,0,Study Room,Notebook,80,5,"Low energy, needed more breaks than expected"
S0118,2024-05-29,Wednesday,09:15,10:00,9,Morning,45,Generative AI,GenAI,4,5.9,6,1,1,Study Room,Laptop + Notebook,79,7,"Decent session, some distractions but useful progress"
S0119,2024-05-29,Wednesday,11:10,12:25,11,Morning,75,Linear Algebra,Math,4,7.6,5,4,0,University Library,Laptop,67,6,"Decent session, some distractions but useful progress"
S0120,2024-05-30,Thursday,12:00,12:50,12,Afternoon,50,Linear Algebra,Math,4,7.0,9,2,0,Cafe,Laptop + Notebook,87,8,"High clarity, strong concentration, completed planned tasks"
S0121,2024-05-31,Friday,09:15,10:30,9,Morning,75,Generative AI,GenAI,4,7.3,6,5,0,Study Room,Laptop + Notebook,88,6,"Decent session, some distractions but useful progress"
S0122,2024-05-31,Friday,11:10,12:25,11,Morning,75,Generative AI,GenAI,4,7.6,6,3,0,Cafe,Laptop + Notebook,88,7,"Decent session, some distractions but useful progress"
S0123,2024-06-03,Monday,08:45,09:45,8,Morning,60,SQL Practice,Programming,3,5.9,6,4,2,Cafe,Tablet,92,6,"Decent session, some distractions but useful progress"
S0124,2024-06-04,Tuesday,09:10,09:55,9,Morning,45,Machine Learning,ML,4,8.6,7,2,0,Cafe,Tablet,100,8,"High clarity, strong concentration, completed planned tasks"
S0125,2024-06-04,Tuesday,10:20,12:20,10,Morning,120,Python Programming,Programming,3,6.7,8,3,0,Cafe,Notebook,100,8,"High clarity, strong concentration, completed planned tasks"
S0126,2024-06-05,Wednesday,10:20,11:20,10,Morning,60,Linear Algebra,Math,4,7.0,7,4,0,University Library,Laptop + Notebook,100,8,"High clarity, strong concentration, completed planned tasks"
S0127,2024-06-06,Thursday,09:30,10:05,9,Morning,35,Big Data Analytics,Data Engineering,4,7.2,3,2,0,Study Room,Notebook,95,7,"Decent session, some distractions but useful progress"
S0128,2024-06-08,Saturday,07:30,08:45,7,Morning,75,Data Visualization,Data Analysis,2,7.1,6,1,1,University Library,Laptop + Notebook,100,7,"Decent session, some distractions but useful progress"
S0129,2024-06-10,Monday,10:20,11:05,10,Morning,45,SQL Practice,Programming,3,6.7,4,6,1,Home Desk,Notebook,67,5,"Low energy, needed more breaks than expected"
S0130,2024-06-11,Tuesday,11:45,12:20,11,Morning,35,Generative AI,GenAI,4,7.3,9,5,0,Study Room,Tablet,86,8,"High clarity, strong concentration, completed planned tasks"
S0131,2024-06-14,Friday,12:00,12:50,12,Afternoon,50,Generative AI,GenAI,4,8.0,9,3,2,Study Room,Tablet,96,7,"Decent session, some distractions but useful progress"
S0132,2024-06-14,Friday,16:10,16:55,16,Afternoon,45,Data Visualization,Data Analysis,2,7.0,4,5,0,Study Room,Tablet,55,5,"Low energy, needed more breaks than expected"
S0133,2024-06-17,Monday,09:30,11:15,9,Morning,105,Big Data Analytics,Data Engineering,4,6.7,7,5,2,University Library,Notebook,81,6,"Decent session, some distractions but useful progress"
S0134,2024-06-17,Monday,15:15,16:45,15,Afternoon,90,Statistics,Math,4,6.5,5,2,0,Home Desk,Laptop,82,6,"Decent session, some distractions but useful progress"
S0135,2024-06-18,Tuesday,14:15,16:00,14,Afternoon,105,Deep Learning,ML,5,5.7,9,2,0,Cafe,Tablet,84,7,"Decent session, some distractions but useful progress"
S0136,2024-06-24,Monday,09:10,11:10,9,Morning,120,SQL Practice,Programming,3,7.2,5,5,5,Cafe,Notebook,58,3,"Restart after long gap, took time to regain rhythm"
S0137,2024-06-25,Tuesday,09:15,10:15,9,Morning,60,German Language,Language,3,7.0,6,5,0,Cafe,Notebook,91,8,"High clarity, strong concentration, completed planned tasks"
S0138,2024-06-26,Wednesday,10:30,11:30,10,Morning,60,Data Visualization,Data Analysis,2,7.3,7,6,0,Cafe,Laptop,75,6,"Decent session, some distractions but useful progress"
S0139,2024-06-27,Thursday,15:10,16:25,15,Afternoon,75,Data Visualization,Data Analysis,2,5.8,9,3,0,Study Room,Laptop,84,6,"Decent session, some distractions but useful progress"
S0140,2024-06-27,Thursday,16:30,17:15,16,Afternoon,45,SQL Practice,Programming,3,6.2,7,4,0,Cafe,Notebook,69,5,"Low energy, needed more breaks than expected"
S0141,2024-07-01,Monday,14:30,15:30,14,Afternoon,60,Generative AI,GenAI,4,6.9,8,3,3,Study Room,Laptop,86,6,"Decent session, some distractions but useful progress"
S0142,2024-07-03,Wednesday,10:15,12:15,10,Morning,120,Statistics,Math,4,7.9,6,5,1,Home Desk,Laptop,86,6,"Decent session, some distractions but useful progress"
S0143,2024-07-03,Wednesday,14:45,15:35,14,Afternoon,50,SQL Practice,Programming,3,7.1,5,3,0,Study Room,Notebook,80,6,"Decent session, some distractions but useful progress"
S0144,2024-07-05,Friday,11:20,13:05,11,Morning,105,Linear Algebra,Math,4,5.8,8,5,1,Home Desk,Tablet,90,6,"Decent session, some distractions but useful progress"
S0145,2024-07-06,Saturday,12:45,14:15,12,Afternoon,90,Big Data Analytics,Data Engineering,4,7.4,6,6,0,Cafe,Laptop,71,6,"Decent session, some distractions but useful progress"
S0146,2024-07-07,Sunday,09:15,10:00,9,Morning,45,SQL Practice,Programming,3,5.4,6,2,0,University Library,Laptop + Notebook,100,7,"Decent session, some distractions but useful progress"
S0147,2024-07-08,Monday,09:20,09:55,9,Morning,35,Statistics,Math,4,7.0,5,4,0,Study Room,Notebook,76,4,"Low energy, needed more breaks than expected"
S0148,2024-07-10,Wednesday,10:15,11:15,10,Morning,60,Linear Algebra,Math,4,7.1,6,5,1,Cafe,Laptop,88,6,"Decent session, some distractions but useful progress"
S0149,2024-07-11,Thursday,12:20,13:05,12,Afternoon,45,Big Data Analytics,Data Engineering,4,8.1,4,5,0,Study Room,Laptop + Notebook,60,4,"Low energy, needed more breaks than expected"
S0150,2024-07-12,Friday,16:00,17:30,16,Afternoon,90,Linear Algebra,Math,4,7.1,5,6,0,University Library,Notebook,74,6,"Decent session, some distractions but useful progress"
S0151,2024-07-13,Saturday,18:10,19:00,18,Evening,50,Python Programming,Programming,3,5.7,10,4,0,Study Room,Notebook,76,5,"Low energy, needed more breaks than expected"
S0152,2024-07-13,Saturday,08:00,09:45,8,Morning,105,Big Data Analytics,Data Engineering,4,7.0,8,5,0,Home Desk,Notebook,95,8,"High clarity, strong concentration, completed planned tasks"
S0153,2024-07-14,Sunday,18:30,20:15,18,Evening,105,SQL Practice,Programming,3,6.2,5,5,0,Study Room,Tablet,64,3,"Low energy, needed more breaks than expected"
S0154,2024-07-15,Monday,08:45,10:45,8,Morning,120,Machine Learning,ML,4,6.0,8,5,0,Home Desk,Tablet,75,7,"Decent session, some distractions but useful progress"
S0155,2024-07-15,Monday,15:45,16:35,15,Afternoon,50,Python Programming,Programming,3,8.4,6,2,0,Study Room,Laptop,100,8,"High clarity, strong concentration, completed planned tasks"
